FacilityName,lat,long,S,State,City,PrimaryRestriction,Other Requirement 1,Other Requirement 2,Other Requirement 3,Other Requirement 4,Color Coding,num_max_books,only_paperback,condition_good_used_okay,bundle,has_no_restrictions,condition_new,needs_prior_approval,hardcover_okay,color_v2,,
ASPC-Tucson Winchester Unit,32.19709,-110.828987,112,Arizona,Tucson,,,,,,,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,red,"""red""","""red"""
"FCI TUCSON, Federal Facility ",32.22174,-110.92648,113,Arizona,Tucson,,no sexual content,, ,,,9999,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,green,"""green""","""green"""
Satellite Prison Camp ,40.768389,-80.700439,114,Arizona,Tucson,,no sexual content,, ,"No naked women, No Breasts",,9999,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,green,"""green""","""green"""
USP TUCSON ,-21.159957,-47.865917,115,Arizona,Tucson,,,,,5/5/15 direct from publisher,,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,red,"""red""","""red"""
ASPC-Winslow Complex Lock-Up,33.471026,-112.440002,116,Arizona,Winslow,,,,,,,9999,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,green,"""green""","""green"""
ASPC-Winslow Coronado Unit,31.117323,29.852075,117,Arizona,Winslow,,,,,,,9999,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,green,"""green""","""green"""
ASPC-Winslow Kaibab Unit,31.117323,29.852075,118,Arizona,Winslow,,,,,,,9999,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,green,"""green""","""green"""
ASPC-Yuma Cou Unit,31.117323,29.852075,119,Arizona,Yuma,,,,,,,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,red,"""red""","""red"""
Clark County Jail,44.560535,-90.593561,120,Arkansas,Arkadelphia,,,,,,,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,red,"""red""","""red"""
East AR Region Unit,38.5,48,121,Arkansas,Brickeys,,, ,,,,9999,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,green,"""green""","""green"""
